precinct_id,election_id,cd_division_id,sldu_division_id,sldl_division_id,locality_id,locality_name,precinct_name,source_id,shape_id
OPPID:471192992,OPEID:847144854,OPDID:373878287,,,,Norfolk,Titustown,OPSRCID:961425548,OPSID:350272526
OPPID:347891063,OPEID:578230859,OPDID:373878287,,,,Norfolk,Titustown,OPSRCID:961425548,OPSID:350272526
OPPID:826760591,OPEID:385970256,OPDID:373878287,,,,Norfolk,Titustown,OPSRCID:961425548,OPSID:350272526
OPPID:917061414,OPEID:847144854,OPDID:373878287,,,,Norfolk,Second Presbyterian,OPSRCID:961425548,OPSID:334914346
OPPID:593495461,OPEID:578230859,OPDID:373878287,,,,Norfolk,Second Presbyterian,OPSRCID:961425548,OPSID:334914346
OPPID:411150634,OPEID:385970256,OPDID:373878287,,,,Norfolk,Second Presbyterian,OPSRCID:961425548,OPSID:334914346
OPPID:546869806,OPEID:847144854,OPDID:373878287,,,,Norfolk,Crossroads,OPSRCID:961425548,OPSID:123074397
OPPID:999342503,OPEID:578230859,OPDID:373878287,,,,Norfolk,Crossroads,OPSRCID:961425548,OPSID:123074397
OPPID:697488273,OPEID:385970256,OPDID:373878287,,,,Norfolk,Crossroads,OPSRCID:961425548,OPSID:123074397
OPPID:207374479,OPEID:847144854,OPDID:373878287,,,,Norfolk,Northside,OPSRCID:961425548,OPSID:789658324
OPPID:299615329,OPEID:578230859,OPDID:373878287,,,,Norfolk,Northside,OPSRCID:961425548,OPSID:789658324
OPPID:775762534,OPEID:385970256,OPDID:373878287,,,,Norfolk,Northside,OPSRCID:961425548,OPSID:789658324
OPPID:418246764,OPEID:847144854,OPDID:631969374,,,,Norfolk,Ballentine,OPSRCID:961425548,OPSID:877001467
OPPID:229804604,OPEID:578230859,OPDID:631969374,,,,Norfolk,Ballentine,OPSRCID:961425548,OPSID:877001467
OPPID:897947650,OPEID:385970256,OPDID:631969374,,,,Norfolk,Ballentine,OPSRCID:961425548,OPSID:877001467
OPPID:874687978,OPEID:847144854,OPDID:631969374,,,,Norfolk,Ruffner Academy,OPSRCID:961425548,OPSID:457228733
OPPID:863636349,OPEID:578230859,OPDID:631969374,,,,Norfolk,Ruffner Academy,OPSRCID:961425548,OPSID:457228733
OPPID:637729581,OPEID:385970256,OPDID:631969374,,,,Norfolk,Ruffner Academy,OPSRCID:961425548,OPSID:457228733
OPPID:645157245,OPEID:847144854,OPDID:631969374,,,,Norfolk,Park Place,OPSRCID:961425548,OPSID:553233942
OPPID:991244035,OPEID:578230859,OPDID:631969374,,,,Norfolk,Park Place,OPSRCID:961425548,OPSID:553233942
OPPID:819735122,OPEID:385970256,OPDID:631969374,,,,Norfolk,Park Place,OPSRCID:961425548,OPSID:553233942
OPPID:425739463,OPEID:847144854,OPDID:631969374,,,,Norfolk,Taylor Elementary School,OPSRCID:961425548,OPSID:303849597
OPPID:405113796,OPEID:578230859,OPDID:631969374,,,,Norfolk,Taylor Elementary School,OPSRCID:961425548,OPSID:303849597
OPPID:730909864,OPEID:385970256,OPDID:631969374,,,,Norfolk,Taylor Elementary School,OPSRCID:961425548,OPSID:303849597
OPPID:642544369,OPEID:847144854,OPDID:631969374,,,,Norfolk,Coleman Place School,OPSRCID:961425548,OPSID:636185925
OPPID:522360239,OPEID:578230859,OPDID:631969374,,,,Norfolk,Coleman Place School,OPSRCID:961425548,OPSID:636185925
OPPID:732436358,OPEID:385970256,OPDID:631969374,,,,Norfolk,Coleman Place School,OPSRCID:961425548,OPSID:636185925
OPPID:615639791,OPEID:847144854,OPDID:631969374,,,,Norfolk,Lake Taylor High School,OPSRCID:961425548,OPSID:137071829
OPPID:360640056,OPEID:578230859,OPDID:631969374,,,,Norfolk,Lake Taylor High School,OPSRCID:961425548,OPSID:137071829
OPPID:898574707,OPEID:385970256,OPDID:631969374,,,,Norfolk,Lake Taylor High School,OPSRCID:961425548,OPSID:137071829
OPPID:534101039,OPEID:847144854,OPDID:631969374,,,,Norfolk,Lambert's Point,OPSRCID:961425548,OPSID:956206294
OPPID:544866269,OPEID:578230859,OPDID:631969374,,,,Norfolk,Lambert's Point,OPSRCID:961425548,OPSID:956206294
OPPID:813762923,OPEID:385970256,OPDID:631969374,,,,Norfolk,Lambert's Point,OPSRCID:961425548,OPSID:956206294
OPPID:494196212,OPEID:847144854,OPDID:373878287,,,,Norfolk,Tarrallton,OPSRCID:961425548,OPSID:285765286
OPPID:689268179,OPEID:578230859,OPDID:373878287,,,,Norfolk,Tarrallton,OPSRCID:961425548,OPSID:285765286
OPPID:854884265,OPEID:385970256,OPDID:373878287,,,,Norfolk,Tarrallton,OPSRCID:961425548,OPSID:285765286
OPPID:824223642,OPEID:847144854,OPDID:373878287,,,,Norfolk,Bayview,OPSRCID:961425548,OPSID:933049334
OPPID:892652820,OPEID:578230859,OPDID:373878287,,,,Norfolk,Bayview,OPSRCID:961425548,OPSID:933049334
OPPID:502334307,OPEID:385970256,OPDID:373878287,,,,Norfolk,Bayview,OPSRCID:961425548,OPSID:933049334
OPPID:571331461,OPEID:847144854,OPDID:373878287,,,,Norfolk,East Ocean View,OPSRCID:961425548,OPSID:192843870
